Direccion,Direccion_normalizada,latitud_imputada,longitud_imputada
KR 27-CL 26 S 02,"Carrera 27 # 26 Sur 02, Bogotá, Colombia",,
KR 33-CL 44 S 32,"Carrera 33 # 44 Sur 32, Bogotá, Colombia",,
AC 22-KR 20 02,"Avenida 22 Carrera 20 02, Bogotá, Colombia",,
CL 32-KR 13B 02,"Calle 32 Carrera 13B 02, Bogotá, Colombia",,
KR 9D-CL 44 S 02,"Carrera 9D Calle 44 Sur 02, Bogotá, Colombia",,
KR 27-CL 39 S 51,"Carrera 27 # 39 Sur 51, Bogotá, Colombia",4.5892431,-74.1089617
CL 56-KR 4M SE 02,"Calle 56 Carrera 4M Se 02, Bogotá, Colombia",,
AV AVENIDA DE LAS AMERICAS-AC 26 02,"Avenida Avenida De Las Americas Avenida 26 02, Bogotá, Colombia",,
CL 10-KR 10 02,"Calle 10 Carrera 10 02, Bogotá, Colombia",,
KR 9-CL 9 ES 02,"Carrera 9 # 9 Este 02, Bogotá, Colombia",,
AV AVENIDA CARACAS-AC 13 02,"Avenida Avenida Caracas Avenida 13 02, Bogotá, Colombia",,
AV AVENIDA DEL SUR-CL 17A 02,"Avenida Avenida Del Sur Calle 17A 02, Bogotá, Colombia",,
KR 33-CL 55B S 02,"Carrera 33 # 55B Sur 02, Bogotá, Colombia",,
CL 56-KR 3D SE 02,"Calle 56 Carrera 3D Se 02, Bogotá, Colombia",,
CL 1-KR 8 02,"Calle 1 Carrera 8 02, Bogotá, Colombia",,
TR 3CBIS-CL 47A 23,"Tr 3Cbis Calle 47A 23, Bogotá, Colombia",,
CL 26-KR 66A 48,"Calle 26 Carrera 66A 48, Bogotá, Colombia",,
AV AVENIDA CIRCUNVALAR-CL 21 48,"Avenida Avenida Circunvalar Calle 21 48, Bogotá, Colombia",,
KR 45A-CL 116 02,"Carrera 45A Calle 116 02, Bogotá, Colombia",,
KR 27-CL 29 S 02,"Carrera 27 # 29 Sur 02, Bogotá, Colombia",,
CL 71-KR 28A 02,"Calle 71 Carrera 28A 02, Bogotá, Colombia",,
AV AVENIDA PRIMERA DE MAYO-CL 78H 02,"Avenida Avenida Primera De Mayo Calle 78H 02, Bogotá, Colombia",,
CL 63-KR 50 02,"Calle 63 Carrera 50 02, Bogotá, Colombia",,
AV AVENIDA BOYACA-CL 12F S 02,"Avenida Avenida Boyaca Calle 12F Sur 02, Bogotá, Colombia",,
KR 4-CL 30 ES 54,"Carrera 4 # 30 Este 54, Bogotá, Colombia",,
AV AVENIDA PRIMERO DE MAYO-KR 24F 02,"Avenida Avenida Primero De Mayo Carrera 24F 02, Bogotá, Colombia",,
AV AVENIDA BOYACA-KR 20 02,"Avenida Avenida Boyaca Carrera 20 02, Bogotá, Colombia",,
AV AVENIDA BOYACA-CL 25A 02,"Avenida Avenida Boyaca Calle 25A 02, Bogotá, Colombia",,
AV AVENIDA DEL SUR-CL 50 S 25,"Avenida Avenida Del Sur Calle 50 Sur 25, Bogotá, Colombia",,
AV AVENIDA DE LAS AMERICAS-KR 83 02,"Avenida Avenida De Las Americas Carrera 83 02, Bogotá, Colombia",,
AK 68-CL 6 03,"Avenida Carrera 68 # 6 03, Bogotá, Colombia",4.6131594,-74.1276084
AV AVENIDA DEL SUR-DG 44 S 02,"Avenida Avenida Del Sur Diagonal 44 Sur 02, Bogotá, Colombia",,
AC 23-KR 90 02,"Avenida 23 Carrera 90 02, Bogotá, Colombia",,
AV AVENIDA CARACAS-CL 66 S 02,"Avenida Avenida Caracas Calle 66 Sur 02, Bogotá, Colombia",,
KR 2-CL 49ABIS S 02,"Carrera 2 # 49Abis Sur 02, Bogotá, Colombia",,
AV AVENIDA CARACAS-CL 76 02,"Avenida Avenida Caracas Calle 76 02, Bogotá, Colombia",,
KR 17H-CL 115 ES 02,"Carrera 17H Calle 115 Este 02, Bogotá, Colombia",,
AC 13-KR 30 02,"Avenida 13 Carrera 30 02, Bogotá, Colombia",,
CL 158-KR 74 02,"Calle 158 Carrera 74 02, Bogotá, Colombia",,
AV AVENIDA BOYACA-CL 70B S 02,"Avenida Avenida Boyaca Calle 70B Sur 02, Bogotá, Colombia",,
AV AVENIDA BOYACA-AV AVENIDA CIUDAD DE VILLAVICENCIO 02,"Avenida Avenida Boyaca Avenida Avenida Ciudad De Villavicencio 02, Bogotá, Colombia",,
KR 14A-CL 58 02,"Carrera 14A Calle 58 02, Bogotá, Colombia",,
TR 33-CL 54 29,"Tr 33 Calle 54 29, Bogotá, Colombia",,
AK 19-CL 97 02,"Avenida Carrera 19 # 97 02, Bogotá, Colombia",4.685063,-74.0521074
AC 26-KR 10 02,"Avenida 26 Carrera 10 02, Bogotá, Colombia",,
AV AVENIDA DE LAS AMERICAS-KR 21C 03,"Avenida Avenida De Las Americas Carrera 21C 03, Bogotá, Colombia",,
AV AVENIDA CIUDAD DE CALI-AC 25G 02,"Avenida Avenida Ciudad De Cali Avenida 25G 02, Bogotá, Colombia",,
AV AVENIDA BOYACA-CL 13 02,"Avenida Avenida Boyaca Calle 13 02, Bogotá, Colombia",,
CL 17-KR 12 02,"Calle 17 Carrera 12 02, Bogotá, Colombia",,
CL 6-KR 10 02,"Calle 6 Carrera 10 02, Bogotá, Colombia",,
